competitor,route_start,route_dest,from_alternateId,to_alternateId,CODE,pax_1,pax_2,pax_3,pax_4,pax_5,pax_6,pax_7,pax_8,pax_9,pax_10,pax_11,pax_12,pax_13,pax_14,pax_15,pax_16,Retry
Sun,Aarhus Airport (AAR),Aalborg,44265,29459,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Aarhus,44265,29460,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Billund,44265,29458,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Herning,44265,30776,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Kolding,44265,29461,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Middelfart,44265,32060,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Odense,44265,29462,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Ribe,44265,30757,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Sønderborg,44265,31919,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Svendborg,44265,30853,AAR,,,,,,,,,,,,,,,,,
Sun,Aarhus Airport (AAR),Vejle,44265,29463,AAR,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Aberdeen,28068,27958,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Banff,28068,29328,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Brechin,28068,29352,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Cove Bay,28068,34455,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Edinburgh,28068,27954,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Fraserburgh,28068,29441,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Inverness,28068,27960,ABZ,,,,,,,,,,,,,,,,,
Sun,Aberdeen Airport (ABZ),Portlethen,28068,29666,ABZ,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Al Barsha,24989,27300,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Al Mamzar,24989,31690,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Al Maqta,24989,33162,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Danat Jebel Dhanna Resort,24989,25495,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Mirdif,24989,33127,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Qasr Al Sarab,24989,25493,AUH,,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Saadiyat Island,24989,33967,AUH,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Acapulco,28399,26547,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Akumal,28399,26555,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Chichén Itzá,28399,34281,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Colonia Juan N. Alvarez,28399,34187,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Mexico City Centre,28399,26546,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Pie De La Cuesta,28399,34270,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Taxco,28399,26548,ACA,,,,,,,,,,,,,,,,,
Sun,Acapulco Airport,Valle De Bravo,28399,28959,ACA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Aourir,21455,27125,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Asni,21455,21428,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Beni-Mellal,21455,35161,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Casablanca,21455,22357,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,El Jadida,21455,21438,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Essaouira,21455,20713,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Founty,21455,39974,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Imi Ouaddar,21455,29691,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Imlil,21455,21429,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Immouzzer,21455,21430,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Imsouane,21455,36944,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Inezgane,21455,39999,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Kenitra,21455,27050,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Khouribga,21455,33311,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Marrakech Airport,21455,20710,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Marrakech City (Excl. Medina),21455,20715,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Marrakech Medina (Main Entrance),21455,40270,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Meknes,21455,21440,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Ouirgane,21455,21431,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Paradis Plage,21455,35271,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Rabat,21455,10954,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Safi (Morocco),21455,29693,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Settat,21455,35519,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Setti Fadma,21455,21432,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Sidi Ifni,21455,29690,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Sidi Kaouki,21455,33218,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Tafraoute,21455,21433,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Taghazout,21455,21434,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Tamraght,21455,29685,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Tantan,21455,29687,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Taroudant,21455,21436,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Tiguert,21455,40171,AGA,,,,,,,,,,,,,,,,,
Sun,Agadir Airport,Zagora,21455,21452,AGA,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Agra,27746,27747,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Delhi,27746,27743,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Delhi Airport,27746,27742,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Faridabad,27746,30010,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Gwalior,27746,28871,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Jaipur,27746,27769,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Moradabad,27746,35453,AGR,,,,,,,,,,,,,,,,,
Sun,Agra Airport,Vrindavan,27746,36523,AGR,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Ahmedabad,27748,27749,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Ankleshwar,27748,32095,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Arpora,27748,30023,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Bogmalo Beach,27748,30026,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Carmona,27748,10296,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Delhi,27748,27743,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Mount Abu,27748,39647,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Neemuch,27748,35630,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,North Goa,27748,27759,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Rajkot,27748,33883,AMD,,,,,,,,,,,,,,,,,
Sun,Ahmedabad Airport,Udaipur,27748,27779,AMD,,,,,,,,,,,,,,,,,
Sun,Ajaccio Airport,Calcatoggio,24461,27303,AJA,,,,,,,,,,,,,,,,,
Sun,Ajaccio Airport,Calenzana,24461,27512,AJA,,,,,,,,,,,,,,,,,
Sun,Ajaccio Airport,Figari,24461,27514,AJA,,,,,,,,,,,,,,,,,
Sun,Ajaccio Airport,Ile-Rousse,24461,27516,AJA,,,,,,,,,,,,,,,,,
Sun,Ajaccio Airport,Zonza,24461,33709,AJA,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Dahab,43002,25553,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Damietta,43002,36967,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Ismailia,43002,31432,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Marsa Alam Airport,43002,32703,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Naama Bay,43002,25550,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Nabq Bay,43002,25551,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Nuweiba,43002,25554,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Port Said,43002,31683,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Qena,43002,35674,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Ras Nasrani,43002,25561,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Sharks Bay,43002,25556,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Sharm El Sheikh,43002,25552,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Sharm El Sheikh Airport,43002,25546,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandria Borg El Arab Airport,Tanta,43002,36210,HBE,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Chrisoupoli,33540,33816,AXD,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Didimoticho,33540,33848,AXD,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Kavala,33540,25369,AXD,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Orestiada,33540,33849,AXD,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Ormenio,33540,33850,AXD,,,,,,,,,,,,,,,,,
Sun,Alexandroupolis Airport,Soufli,33540,33847,AXD,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Arbatax,26370,26366,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Badesi,26370,26371,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Bosa,26370,26356,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Budoni,26370,26419,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Cala Gonone,26370,26363,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Cannigione,26370,26412,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Castelsardo,26370,26373,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Costa Paradiso,26370,26374,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Fertilia,26370,31943,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Golfo Aranci,26370,26396,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Isola Rossa,26370,26376,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,La Ciaccia,26370,35523,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Nuoro,26370,26357,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Palau,26370,26378,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Platamona,26370,26379,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Portisco,26370,26398,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Porto Cervo,26370,26414,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Porto Conte,26370,26380,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Porto San Paolo,26370,26394,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Porto Torres,26370,26361,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,San Teodoro,26370,26381,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Santa Teresa Gallura,26370,26382,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Sassari,26370,26383,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Sorso,26370,26384,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Stintino,26370,26385,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Tortoli,26370,26365,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Valledoria,26370,26386,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Vignola Mare,26370,26439,AHO,,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Villasimius,26370,26341,AHO,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Albir,10569,10001,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Alfas Del Pi,10569,20695,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Algorfa,10569,21671,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Alicante Airport,10569,10569,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Alicante Train Station,10569,40506,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Altea,10569,10003,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Arenales Del Sol,10569,21316,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Benidoleig,10569,22373,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Benidorm,10569,10004,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Benimar,10569,23395,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Benissa,10569,20694,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Benitachell,10569,22490,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Bolnuevo,10569,31386,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Busot,10569,23344,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Cabo De Palos,10569,22200,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Cabo Roig,10569,10005,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Cala D'or,10569,10409,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Callosa De Segura,10569,21317,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Calpe,10569,10006,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Campoamor (Dehesa De Campoamor),10569,21318,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Cartagena,10569,10008,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Coveta Fuma,10569,22496,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Daimús,10569,24961,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Dénia,10569,10010,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,El Campello,10569,21274,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Finestrat,10569,35363,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Gandia,10569,10013,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Gran Alacant,10569,10905,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Guardamar Del Segura,10569,10014,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Hondón De Las Nieves,10569,22387,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Ibi,10569,21279,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,Jesus Pobre,10569,37164,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,L'Altet,10569,42692,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,La Manga Club,10569,10016,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,La Manga Del Mar Menor,10569,10017,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,La Marina,10569,10623,ALC,,,,,,,,,,,,,,,,,
Sun,Alicante Airport,La Nucia,10569,10018,ALC,,,,,,,,,,,,,,,,,
