Route_start,Matched,ID,Route_start_country,Route_dest,Matched _dest,ALTERNATE_ID,Valid,CODE
Pula Airport,Pula Airport,26134,HR,Lovran,Lovran,25077,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Medulin,Medulin,26137,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Opatija,Opatija,25344,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Premantura,Premantura,26138,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Rabac,Rabac,26135,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Rijeka,Rijeka,25053,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Rovinj,Rovinj,25348,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Umag,Umag,25357,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Vrsar,Vrsar,26136,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Bale,Bale,30051,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Labin,Labin,30828,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Motovun,Motovun,42403,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Savudrija,Savudrija,28083,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Tar,Tar,34751,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Trieste,Trieste,21636,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Brestova,Brestova,34916,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Camping Valalta,Camping Valalta,30095,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Pomer,Pomer,34804,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Peroj,Peroj,32460,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Verudela,Verudela,28087,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Camping Lanterna,Camping Lanterna,28705,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Valbandon,Valbandon,34807,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Rovinjsko Selo,Rovinjsko Selo,35847,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Zagreb Airport,Zagreb airport,25464,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Vabriga,Vabriga,30282,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Buje,Buje,40586,TRUE,PUY
Pula Airport,Pula Airport,26134,HR,Piran,Piran,25345,TRUE,PUY
Trieste Airport,Trieste Airport,21637,IT,Pula Airport,Pula airport,26134,TRUE,TRS
Rijeka Airport,Rijeka Airport,28073,HR,Crikvenica,Crikvenica,25079,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Dramalj,Dramalj,45034,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Klenovica,Klenovica,45030,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Lopar,Lopar,42667,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Lovran,Lovran,25077,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Malinska,Malinska,28079,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Njivice,Njivice,28081,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Novi Vinodolski,Novi Vinodolski,28082,TRUE,RJK
Rijeka Airport,Rijeka Airport,28073,HR,Opatija,Opatija,25344,TRUE,RJK
