competitor,route_start,route_dest,from_alternateId,to_alternateId,CODE,pax_1,pax_2,pax_3,pax_4,pax_5,pax_6,pax_7,pax_8,pax_9,pax_10,pax_11,pax_12,pax_13,pax_14,pax_15,pax_16
Sun,Dubrovnik Airport,"Dubrovnik, Ferry Port",23901,25213,DBV,,,,,,,,,,,,,,,,
Sun,Nice Airport,Nice,10811,10852,NCE,,,,,,,,,,,,,,,,
Sun,Lyon Airport,Lyon,10669,10736,LYS,,,,,,,,,,,,,,,,
Sun,Amsterdam Schiphol Airport,Amsterdam,22410,41220,AMS,,,,,,,,,,,,,,,,
Sun,Dortmund Airport,Dortmund,22835,22843,DTM,,,,,,,,,,,,,,,,
Sun,Nantes Airport,Nantes,23898,24194,NTE,,,,,,,,,,,,,,,,
Sun,Faro Airport,Algarve,10809,36386,FAO,,,,,,,,,,,,,,,,
Sun,Athens Airport,Athens,21532,21535,ATH,,,,,,,,,,,,,,,,
Sun,Bucharest Otopeni Airport (OTP),Bucharest,26152,26236,OTP,,,,,,,,,,,,,,,,
Sun,La Coruña Airport,A Coruña,24502,21082,LCG,,,,,,,,,,,,,,,,
Sun,Alghero Airport,Alghero,26370,26364,AHO,,,,,,,,,,,,,,,,
Sun,Larnaca Airport,Larnaca City Centre,21518,21517,LCA,,,,,,,,,,,,,,,,
Sun,Dresden Airport,Dresden,23478,23479,DRS,,,,,,,,,,,,,,,,
Sun,San Sebastian Airport,San Sebastian,20719,20721,EAS,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,"Yas Island, Abu Dhabi",24989,27115,AUH,,,,,,,,,,,,,,,,
Sun,Abu Dhabi Airport,Abu Dhabi,24989,25114,AUH,,,,,,,,,,,,,,,,
Sun,Basel Airport,Basel,22446,22445,BSL,,,,,,,,,,,,,,,,
Sun,Paris Beauvais Airport,Opera (Paris),10625,40182,BVA,,,,,,,,,,,,,,,,
Sun,Paris Beauvais Airport,MontparnasseTrain Station Paris,10625,40180,BVA,,,,,,,,,,,,,,,,
Sun,Venice Treviso Airport (TSF),Venice,21565,21642,TSF,,,,,,,,,,,,,,,,
Sun,Brussels Zaventem Airport,Brussels,22415,22426,BRU,,,,,,,,,,,,,,,,
Sun,Pula Airport,Lovran,26134,25077,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,Rijeka,26134,25053,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,Savudrija,26134,28083,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,Brestova,26134,34916,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,Suha Punta,26134,24087,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,Lanterna,26134,28705,PUY,,,,,,,,,,,,,,,,
Sun,Pula Airport,"Marina Laguna, Novigrad-Istra",26134,25246,PUY,,,,,,,,,,,,,,,,
Sun,Trieste Airport,Pula Airport,21637,24087,TRS,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Betina,25240,28953,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Makarska,25240,25042,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,"Marina Kremik, Primošten",25240,25051,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Pakoštane,25240,25063,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Šibenik,25240,25046,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Tribunj,25240,27610,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,"Jezera, Tisno",25240,28949,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Seget Donji,25240,25244,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,"Marina Sangulin, Biograd",25240,24081,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Tu?epi,25240,25043,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,"Seline, Starigrad",25240,25069,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Suha Punta,25240,24087,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Split Airport,25240,23900,ZAD,,,,,,,,,,,,,,,,
Sun,Zadar Airport,Brela,25240,25045,ZAD,,,,,,,,,,,,,,,,
