competitor,route_start,route_dest,from_alternateId,to_alternateId,CODE,pax_1,pax_2,pax_3,pax_4,pax_5,pax_6,pax_7,pax_8,pax_9,pax_10,pax_11,pax_12,pax_13,pax_14,pax_15,pax_16,Retry
Sun,Aarhus Airport (AAR),Aalborg,44265,29459,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Aarhus,44265,29460,AAR,,,154.99,,,,256.96,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Billund,44265,29458,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Herning,44265,30776,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Kolding,44265,29461,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Middelfart,44265,32060,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Odense,44265,29462,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Ribe,44265,30757,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),S?nderborg,44265,31919,AAR,,,,,,,,,,,,,,,,,0
Sun,Aarhus Airport (AAR),Svendborg,44265,30853,AAR,,,,,,,,,,,,,,,,,0
